id,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,poi_1,poi_2,poi_3,size,price_monthly,room_count,total_call,gender,poi_cluster,new_col,price_bin,size_bin,room_bin,call_bin,fac_1_campur,fac_1_putra,fac_1_putri,fac_2_campur,fac_2_putra,fac_2_putri,fac_3_campur,fac_3_putra,fac_3_putri,fac_4_campur,fac_4_putra,fac_4_putri,fac_5_campur,fac_5_putra,fac_5_putri,fac_6_campur,fac_6_putra,fac_6_putri,fac_7_campur,fac_7_putra,fac_7_putri,fac_8_campur,fac_8_putra,fac_8_putri,poi_cluster_campur,poi_cluster_putra,poi_cluster_putri,price_bin_campur,price_bin_putra,price_bin_putri,size_bin_campur,size_bin_putra,size_bin_putri,room_bin_campur,room_bin_putra,room_bin_putri,call_bin_campur,call_bin_putra,call_bin_putri,diff_fac_1,diff_fac_2,diff_fac_3,diff_fac_4,diff_fac_5,diff_fac_6,diff_fac_7,diff_fac_8,diff_poi,diff_poi_bin
3057,1,1,1,1,1,1,0,0,9928,170,10735,12,1200000,10,2,putri,3,6,3,1,2,1,0.318396226,0.169811321,0.511792453,0.234994914,0.240081384,0.524923703,0.177943166,0.245602165,0.576454668,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.274298056,0.233261339,0.492440605,0.185829708,0.286824114,0.527346178,0.168697883,0.25208467,0.579217447,0.208333333,0.265277778,0.526388889,0.107946027,0.354322839,0.537731134,0.14131305,0.310648519,0.548038431,0.157284768,0.307119205,0.535596026,0.271973466,0.255389718,0.472636816,1,0,0,0,0,0,0,0,0,0
1752,0,1,0,1,1,1,0,1,10219,173,11000,13.5,625000,13,12,putra,3,5,1,2,3,1,0.1383201,0.333890514,0.527789386,0.234994914,0.240081384,0.524923703,0.192504259,0.325951164,0.481544577,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.274298056,0.233261339,0.492440605,0.185829708,0.286824114,0.527346178,0.199881023,0.323022011,0.477096966,0.182854537,0.296853625,0.520291838,0.107946027,0.354322839,0.537731134,0.14131305,0.310648519,0.548038431,0.241645244,0.292202228,0.466152528,0.15364168,0.291866029,0.554492291,0,1,0,1,1,0,0,0,0,0
1776,1,1,1,1,1,1,0,0,10303,334,11121,12.96,1500000,40,2,putri,3,6,3,1,3,1,0.318396226,0.169811321,0.511792453,0.234994914,0.240081384,0.524923703,0.177943166,0.245602165,0.576454668,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.274298056,0.233261339,0.492440605,0.185829708,0.286824114,0.527346178,0.168697883,0.25208467,0.579217447,0.182854537,0.296853625,0.520291838,0.342209073,0.184418146,0.473372781,0.14131305,0.310648519,0.548038431,0.150326797,0.263616558,0.586056645,0.182741117,0.317258883,0.5,1,0,0,0,0,0,0,0,0,0
2404,0,0,1,0,0,0,0,0,9912,377,10768,7.5,300000,1,1,putra,3,1,1,1,1,1,0.1383201,0.333890514,0.527789386,0.109968354,0.365506329,0.524525316,0.177943166,0.245602165,0.576454668,0.18957012,0.367864693,0.442565187,0.164655172,0.388793103,0.446551724,0.121636168,0.331001076,0.547362756,0.185829708,0.286824114,0.527346178,0.168697883,0.25208467,0.579217447,0.182854537,0.296853625,0.520291838,0.107946027,0.354322839,0.537731134,0.14131305,0.310648519,0.548038431,0.241645244,0.292202228,0.466152528,0.271973466,0.255389718,0.472636816,0,0,1,0,0,0,0,-1,0,0
2263,1,0,1,1,1,0,0,0,10471,513,11180,9,1350000,4,1,putra,3,4,3,1,1,1,0.318396226,0.169811321,0.511792453,0.109968354,0.365506329,0.524525316,0.177943166,0.245602165,0.576454668,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.121636168,0.331001076,0.547362756,0.185829708,0.286824114,0.527346178,0.168697883,0.25208467,0.579217447,0.182854537,0.296853625,0.520291838,0.342209073,0.184418146,0.473372781,0.303547963,0.23390276,0.462549277,0.241645244,0.292202228,0.466152528,0.15364168,0.291866029,0.554492291,1,0,0,0,0,0,0,0,0,0
2269,1,0,1,1,1,0,0,0,10471,513,11180,9,1000000,15,1,putri,3,4,3,1,3,1,0.318396226,0.169811321,0.511792453,0.109968354,0.365506329,0.524525316,0.177943166,0.245602165,0.576454668,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.121636168,0.331001076,0.547362756,0.185829708,0.286824114,0.527346178,0.168697883,0.25208467,0.579217447,0.208333333,0.265277778,0.526388889,0.107946027,0.354322839,0.537731134,0.14131305,0.310648519,0.548038431,0.241645244,0.292202228,0.466152528,0.15364168,0.291866029,0.554492291,0,0,0,1,1,0,0,0,0,0
3073,0,0,0,1,1,0,0,1,10349,610,11010,9,500000,5,1,putra,3,3,1,1,1,1,0.1383201,0.333890514,0.527789386,0.109968354,0.365506329,0.524525316,0.192504259,0.325951164,0.481544577,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.121636168,0.331001076,0.547362756,0.185829708,0.286824114,0.527346178,0.199881023,0.323022011,0.477096966,0.182854537,0.296853625,0.520291838,0.107946027,0.354322839,0.537731134,0.14131305,0.310648519,0.548038431,0.241645244,0.292202228,0.466152528,0.15364168,0.291866029,0.554492291,0,0,0,0,0,0,0,0,0,0
2800,0,1,1,1,1,0,0,1,9694,961,10286,9,625000,25,15,putri,3,5,1,1,3,1,0.1383201,0.333890514,0.527789386,0.234994914,0.240081384,0.524923703,0.177943166,0.245602165,0.576454668,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.121636168,0.331001076,0.547362756,0.185829708,0.286824114,0.527346178,0.199881023,0.323022011,0.477096966,0.182854537,0.296853625,0.520291838,0.107946027,0.354322839,0.537731134,0.14131305,0.310648519,0.548038431,0.241645244,0.292202228,0.466152528,0.15364168,0.291866029,0.554492291,0,1,0,0,0,0,0,0,0,0
2338,0,1,1,1,1,0,0,0,8693,1355,9501,20,700000,5,7,putra,3,4,1,2,1,1,0.1383201,0.333890514,0.527789386,0.234994914,0.240081384,0.524923703,0.177943166,0.245602165,0.576454668,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.121636168,0.331001076,0.547362756,0.185829708,0.286824114,0.527346178,0.168697883,0.25208467,0.579217447,0.208333333,0.265277778,0.526388889,0.107946027,0.354322839,0.537731134,0.14131305,0.310648519,0.548038431,0.241645244,0.292202228,0.466152528,0.182741117,0.317258883,0.5,0,0,0,0,0,0,0,0,0,0
2830,0,1,1,1,1,0,0,0,8543,1588,9246,9,998000,14,4,putri,3,4,3,1,3,1,0.1383201,0.333890514,0.527789386,0.234994914,0.240081384,0.524923703,0.177943166,0.245602165,0.576454668,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.121636168,0.331001076,0.547362756,0.185829708,0.286824114,0.527346178,0.168697883,0.25208467,0.579217447,0.182854537,0.296853625,0.520291838,0.342209073,0.184418146,0.473372781,0.303547963,0.23390276,0.462549277,0.150326797,0.263616558,0.586056645,0.15364168,0.291866029,0.554492291,0,0,0,0,0,0,0,0,0,0
3114,1,1,1,1,1,1,0,0,8210,1985,8864,12,750000,7,19,putri,3,6,1,1,2,1,0.318396226,0.169811321,0.511792453,0.234994914,0.240081384,0.524923703,0.177943166,0.245602165,0.576454668,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.274298056,0.233261339,0.492440605,0.185829708,0.286824114,0.527346178,0.168697883,0.25208467,0.579217447,0.182854537,0.296853625,0.520291838,0.342209073,0.184418146,0.473372781,0.14131305,0.310648519,0.548038431,0.241645244,0.292202228,0.466152528,0.182741117,0.317258883,0.5,0,1,0,0,0,0,0,0,0,0
2619,0,0,0,1,1,1,0,1,9589,2423,9844,9,500000,3,21,putra,3,4,1,1,1,1,0.1383201,0.333890514,0.527789386,0.109968354,0.365506329,0.524525316,0.192504259,0.325951164,0.481544577,0.181868132,0.226923077,0.591208791,0.19740634,0.235830932,0.566762728,0.274298056,0.233261339,0.492440605,0.185829708,0.286824114,0.527346178,0.199881023,0.323022011,0.477096966,0.208333333,0.265277778,0.526388889,0.107946027,0.354322839,0.537731134,0.14131305,0.310648519,0.548038431,0.241645244,0.292202228,0.466152528,0.15364168,0.291866029,0.554492291,0,-1,0,0,0,0,0,0,0,0
2051,0,1,0,0,0,0,0,0,10993,2807,12257,13.75,500000,1,7,campur,3,1,1,2,1,1,0.1383201,0.333890514,0.527789386,0.234994914,0.240081384,0.524923703,0.192504259,0.325951164,0.481544577,0.18957012,0.367864693,0.442565187,0.164655172,0.388793103,0.446551724,0.121636168,0.331001076,0.547362756,0.185829708,0.286824114,0.527346178,0.168697883,0.25208467,0.579217447,0.208333333,0.265277778,0.526388889,0.107946027,0.354322839,0.537731134,0.14131305,0.310648519,0.548038431,0.157284768,0.307119205,0.535596026,0.182741117,0.317258883,0.5,0,0,0,0,0,0,0,0,0,0
